epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7981,0.67789,3.42451,0.98355,0.88983,0.47917,0.45952,0.44545,0.42576,3.1624,0.90524,8.335e-05,8.335e-05,8.335e-05
2,16.8382,0.53685,2.27049,0.88177,0.98594,0.97917,0.99439,0.93194,0.35709,1.02354,0.82921,0.000181555,0.000181555,0.000181555
3,26.6794,0.47587,0.69997,0.84382,0.35013,0.97917,0.50692,0.48541,0.40756,17.2216,0.8274,0.000277779,0.000277779,0.000277779
4,31.4207,0.43987,0.59174,0.82946,0.52622,0.98338,0.52704,0.50411,0.37957,42.0868,0.81761,0.000372023,0.000372023,0.000372023
5,37.2441,0.43244,0.55746,0.8532,0.09684,1,0.14898,0.14223,0.37117,inf,0.82434,0.000464286,0.000464286,0.000464286
6,41.8774,0.42868,0.51859,0.84649,0.49096,1,0.51468,0.46682,0.4806,inf,0.85401,0.000554569,0.000554569,0.000554569
7,46.9643,0.45786,0.49362,0.84418,0.56888,0.98958,0.58386,0.5539,0.39848,8.57182,0.83224,0.000642872,0.000642872,0.000642872
8,52.1783,0.4108,0.42366,0.83762,0.98146,1,0.99357,0.89831,0.46039,0.60817,0.84472,0.000729194,0.000729194,0.000729194
9,57.213,0.40539,0.39654,0.83371,0.75453,0.78577,0.64611,0.58963,0.49677,1.42264,0.88537,0.000813536,0.000813536,0.000813536
10,61.811,0.41319,0.3785,0.83972,0.42931,0.44286,0.45536,0.39154,1.24708,56.308,2.03263,0.000895897,0.000895897,0.000895897
11,66.5518,0.41128,0.38639,0.83913,0.9964,1,0.995,0.91108,0.42418,0.44605,0.82896,0.000976279,0.000976279,0.000976279
12,72.0062,0.38271,0.39873,0.82943,0.54325,1,0.56653,0.53016,0.37446,6.1472,0.82509,0.00105468,0.00105468,0.00105468
13,76.7411,0.45417,0.38303,0.84636,0.52538,0.99071,0.5332,0.5049,0.40564,9.95816,0.83423,0.0011311,0.0011311,0.0011311
