epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7241,1.23999,3.46462,1.12798,0.89485,0.46959,0.45695,0.44497,0.29863,3.00179,0.81647,8.335e-05,8.335e-05,8.335e-05
2,16.1135,1.10908,3.647,1.06131,0.98283,0.45833,0.48707,0.47913,0.27733,6.41027,0.78572,0.000181555,0.000181555,0.000181555
3,21.7635,0.6648,3.28497,0.88711,0.46111,0.25,0.28522,0.28013,0.49825,15.4894,0.88454,0.000277779,0.000277779,0.000277779
4,26.776,0.64216,1.79224,0.87016,0.98172,0.50105,0.53967,0.52886,0.44741,4.05179,0.85069,0.000372023,0.000372023,0.000372023
5,32.1346,0.50517,0.96696,0.85633,0.9818,0.79958,0.99179,0.9363,0.3704,2.52254,0.77987,0.000464286,0.000464286,0.000464286
6,36.8819,0.44109,0.78315,0.81947,0.98432,0.9905,0.995,0.89816,0.44412,2.02975,0.78304,0.000554569,0.000554569,0.000554569
7,42.1209,0.53537,0.7364,0.86924,0.38417,0.5625,0.66373,0.61719,0.45437,15.0276,0.80212,0.000642872,0.000642872,0.000642872
8,46.4851,0.51883,0.6974,0.85175,0.92597,0.70866,0.92187,0.85339,0.44374,2.25911,0.81002,0.000729194,0.000729194,0.000729194
9,50.7804,0.49219,0.56735,0.84153,0.73953,0.49917,0.6218,0.54436,0.84694,2.21836,0.99135,0.000813536,0.000813536,0.000813536
10,55.4408,0.53731,0.53479,0.88175,0.97853,0.66667,0.80384,0.72692,0.47038,1.69754,0.81742,0.000895897,0.000895897,0.000895897
11,60.3725,0.46447,0.466,0.83784,0.93033,0.52083,0.55305,0.50158,0.49351,1.74005,0.81718,0.000976279,0.000976279,0.000976279
12,64.7628,0.43783,0.47439,0.86188,1,0.74807,0.94464,0.86276,0.46359,0.91365,0.81895,0.00105468,0.00105468,0.00105468
13,69.077,0.43661,0.4782,0.85296,0.48368,0.99523,0.55391,0.50201,0.39339,7.38856,0.79577,0.0011311,0.0011311,0.0011311
14,73.7084,0.45924,0.47712,0.8579,0.96983,0.95833,0.97496,0.91209,0.39801,1.4362,0.79224,0.00120554,0.00120554,0.00120554
15,78.8197,0.45801,0.44532,0.86867,0.93476,0.90929,0.96766,0.90916,0.36477,1.01147,0.78798,0.001278,0.001278,0.001278
16,83.1228,0.43001,0.41865,0.83379,0.80689,0.9375,0.96911,0.8653,0.52113,1.28471,0.84873,0.00134848,0.00134848,0.00134848
17,87.5832,0.42202,0.46294,0.86211,0.88976,0.88989,0.92181,0.84416,0.49393,1.46081,0.84462,0.00140295,0.00140295,0.00140295
