epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3738,1.22697,3.34745,1.10292,0.92516,0.40741,0.45914,0.4369,0.30634,3.03923,0.85328,8.335e-05,8.335e-05,8.335e-05
2,17.817,1.0592,4.34299,1.04038,0.96441,0.48336,0.49647,0.48134,0.3501,23.726,0.83571,0.000181555,0.000181555,0.000181555
3,24.1115,0.65302,2.07892,0.92733,0.50397,0.09259,0.0034,0.00254,0.61999,8.87817,0.98632,0.000277779,0.000277779,0.000277779
4,32.5913,0.57741,0.98722,0.89154,0.04618,0.12963,0.0268,0.02343,0.81437,6.53354,1.1191,0.000372023,0.000372023,0.000372023
5,37.8115,0.45333,0.80466,0.84631,0.08876,0.35185,0.07777,0.07523,0.41735,4.50421,0.90515,0.000464286,0.000464286,0.000464286
6,42.6773,0.50403,0.71618,0.85965,0.55704,1,0.56038,0.51187,0.40444,5.56944,0.81661,0.000554569,0.000554569,0.000554569
7,53.2076,0.53053,0.59717,0.85634,0.62129,1,0.8839,0.73051,0.61259,5.00391,0.91787,0.000642872,0.000642872,0.000642872
8,63.0072,0.51663,0.63592,0.87368,0.3972,0.83333,0.42251,0.31067,0.57995,12.2761,1.05734,0.000729194,0.000729194,0.000729194
9,67.984,0.42549,0.4912,0.85766,0.48668,0.88889,0.54249,0.4668,0.4257,15.8516,0.87469,0.000813536,0.000813536,0.000813536
10,73.3679,0.42049,0.46694,0.86222,0.56783,0.9453,0.98714,0.91657,0.42615,3.83787,0.87883,0.000895897,0.000895897,0.000895897
11,78.8423,0.42115,0.41188,0.82978,0.54876,0.73093,0.7677,0.64461,0.80717,3.23055,1.12833,0.000976279,0.000976279,0.000976279
12,83.3641,0.43839,0.44135,0.87917,0.6875,0.27778,0.33374,0.1674,1.90923,10.2645,3.22252,0.00105468,0.00105468,0.00105468
13,88.9477,0.45299,0.39997,0.85007,0.30043,0.01852,0.02096,0.01774,2.4642,5.54834,4.6171,0.0011311,0.0011311,0.0011311
14,99.1008,0.44648,0.41429,0.85023,0.33323,0.01852,0.02295,0.01366,2.79476,5.3058,4.41879,0.00120554,0.00120554,0.00120554
15,108.825,0.44598,0.42643,0.85342,0.0523,0.05556,0.052,0.04654,2.43961,5.31796,3.21972,0.001278,0.001278,0.001278
16,113.299,0.47108,0.37911,0.86662,0.9165,0.77778,0.87484,0.78991,0.47837,0.70432,0.88506,0.00134848,0.00134848,0.00134848
17,118.65,0.45304,0.38056,0.8572,0.74882,0.68519,0.69794,0.64304,0.40354,1.19937,0.85042,0.00140295,0.00140295,0.00140295
18,124.355,0.42626,0.3553,0.86646,0.74624,0.5673,0.60306,0.56265,0.37069,2.36178,0.84124,0.00138644,0.00138644,0.00138644
19,129.474,0.4262,0.34695,0.8565,0.75045,0.94318,0.97153,0.91948,0.37449,0.91597,0.83797,0.00136994,0.00136994,0.00136994
20,140.408,0.4512,0.35752,0.86023,0.9965,1,0.995,0.95246,0.32041,0.31271,0.81452,0.00135344,0.00135344,0.00135344
21,151.111,0.43363,0.38391,0.84956,0.99675,1,0.995,0.93753,0.34737,0.43046,0.81616,0.00133693,0.00133693,0.00133693
22,156.376,0.42931,0.36698,0.85188,0.99176,1,0.995,0.94933,0.29169,0.30604,0.79749,0.00132043,0.00132043,0.00132043
23,165.177,0.43974,0.35714,0.86277,0.99565,1,0.995,0.95491,0.28965,0.3047,0.79758,0.00130393,0.00130393,0.00130393
24,175.629,0.3829,0.32682,0.82824,0.99697,1,0.995,0.93797,0.35505,0.29961,0.82271,0.00128742,0.00128742,0.00128742
25,180.362,0.39126,0.33192,0.84261,0.99692,1,0.995,0.95766,0.29103,0.29742,0.80375,0.00127092,0.00127092,0.00127092
26,190.82,0.39742,0.32776,0.85269,0.99562,1,0.995,0.98086,0.26941,0.29942,0.79496,0.00125442,0.00125442,0.00125442
27,200.875,0.37661,0.32498,0.854,0.99607,1,0.995,0.94381,0.32237,0.35857,0.81244,0.00123791,0.00123791,0.00123791
28,205.533,0.38649,0.32334,0.83981,0.99397,1,0.995,0.9809,0.25988,0.30747,0.79873,0.00122141,0.00122141,0.00122141
29,211.911,0.39201,0.31824,0.83558,0.99756,1,0.995,0.96835,0.28386,0.26894,0.80478,0.00120491,0.00120491,0.00120491
30,217.049,0.36471,0.30957,0.83331,0.99785,1,0.995,0.97012,0.24597,0.24958,0.79257,0.0011884,0.0011884,0.0011884
31,226.94,0.34666,0.2886,0.83364,0.99779,1,0.995,0.97441,0.23319,0.25422,0.78576,0.0011719,0.0011719,0.0011719
32,232.503,0.36277,0.29102,0.84537,0.99752,1,0.995,0.98524,0.22018,0.23634,0.78569,0.0011554,0.0011554,0.0011554
33,243.218,0.35516,0.29672,0.82749,0.99744,1,0.995,0.98706,0.21749,0.22733,0.7881,0.00113889,0.00113889,0.00113889
34,249.366,0.33757,0.29881,0.83775,0.99806,1,0.995,0.97077,0.24785,0.24789,0.79172,0.00112239,0.00112239,0.00112239
35,259.358,0.36842,0.3017,0.81721,0.99778,1,0.995,0.97862,0.23616,0.2432,0.791,0.00110589,0.00110589,0.00110589
36,264.222,0.32806,0.28357,0.79916,0.99721,1,0.995,0.97017,0.22991,0.21001,0.79063,0.00108938,0.00108938,0.00108938
37,269.435,0.32554,0.26473,0.82229,0.9976,1,0.995,0.98976,0.20067,0.20468,0.78485,0.00107288,0.00107288,0.00107288
38,280.313,0.35684,0.26505,0.82217,0.99748,1,0.995,0.98496,0.23983,0.21706,0.78844,0.00105638,0.00105638,0.00105638
39,285.729,0.35501,0.28215,0.82401,0.99715,1,0.995,0.99379,0.21642,0.20464,0.78468,0.00103987,0.00103987,0.00103987
40,296.555,0.31789,0.25285,0.82873,0.9976,1,0.995,0.97952,0.23237,0.20698,0.79105,0.00102337,0.00102337,0.00102337
41,307.027,0.31932,0.25103,0.81859,0.99894,1,0.995,0.97742,0.23016,0.20766,0.78734,0.00100687,0.00100687,0.00100687
42,311.87,0.32166,0.25986,0.82141,0.99887,1,0.995,0.98188,0.20653,0.18223,0.78111,0.000990365,0.000990365,0.000990365
43,317.451,0.27799,0.22917,0.80839,0.99774,1,0.995,0.98184,0.19596,0.18594,0.78232,0.000973861,0.000973861,0.000973861
44,327.061,0.31381,0.24144,0.80901,0.99808,1,0.995,0.98155,0.19864,0.19572,0.77784,0.000957358,0.000957358,0.000957358
45,333.899,0.2964,0.24263,0.8342,0.99802,1,0.995,0.98969,0.18719,0.18802,0.77743,0.000940855,0.000940855,0.000940855
46,338.392,0.29296,0.23709,0.81025,0.99736,1,0.995,0.98266,0.22263,0.20291,0.77968,0.000924352,0.000924352,0.000924352
47,343.007,0.28945,0.2323,0.80293,0.99731,1,0.995,0.98954,0.19421,0.19533,0.77662,0.000907848,0.000907848,0.000907848
