epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4339,4.18797,5.28562,5.50707,0,0,0,0,4.07427,4.31931,4.15799,8.335e-05,8.335e-05,8.335e-05
2,17.6975,3.99906,5.25582,5.37854,0,0,0,0,4.07197,4.32259,4.15723,0.000181555,0.000181555,0.000181555
3,22.9796,3.15249,3.37276,4.11389,0,0,0,0,4.07809,4.3282,4.1604,0.000277779,0.000277779,0.000277779
4,28.5338,2.45272,2.61029,3.8082,0,0,0,0,4.09887,4.33942,4.16847,0.000372023,0.000372023,0.000372023
5,33.2511,2.20103,2.43143,3.45004,0,0,0,0,4.11761,4.34988,4.18001,0.000464286,0.000464286,0.000464286
6,43.9596,2.03918,2.19695,3.20748,0,0,0,0,4.13785,4.35766,4.19242,0.000554569,0.000554569,0.000554569
7,48.6887,2.15378,2.29792,3.21175,0,0,0,0,4.1665,4.1808,4.20564,0.000642872,0.000642872,0.000642872
8,53.2763,2.31085,2.2358,3.03109,0,0,0,0,4.17841,4.17379,4.21493,0.000729194,0.000729194,0.000729194
9,58.9724,1.89574,1.92208,2.89683,0,0,0,0,4.18877,4.19124,4.2253,0.000813536,0.000813536,0.000813536
10,64.2733,2.05707,1.88955,2.6673,0,0,0,0,4.19501,4.21129,4.22969,0.000895897,0.000895897,0.000895897
11,71.8827,1.77261,1.68207,2.35253,0,0,0,0,4.1998,4.15266,4.23146,0.000976279,0.000976279,0.000976279
12,77.8706,1.8972,1.84823,2.42163,0,0,0,0,4.21104,4.05179,4.23509,0.00105468,0.00105468,0.00105468
13,88.0004,1.95545,1.86035,2.42132,0,0,0,0,4.21541,4.01878,4.23607,0.0011311,0.0011311,0.0011311
14,93.4471,1.76944,1.5638,2.23249,0,0,0,0,4.23431,4.03289,4.24583,0.00120554,0.00120554,0.00120554
15,102.333,1.74508,1.52963,2.19892,0,0,0,0,4.22817,4.04393,4.2414,0.001278,0.001278,0.001278
16,108.4,1.64621,1.51235,2.14273,0,0,0,0,4.20971,4.08367,4.23814,0.00134848,0.00134848,0.00134848
17,114.703,1.67316,1.38801,2.04769,0,0,0,0,4.18573,4.12319,4.22723,0.00140295,0.00140295,0.00140295
18,120.342,1.57669,1.40679,2.05898,0,0,0,0,4.08952,4.20522,4.1752,0.00138644,0.00138644,0.00138644
19,129.245,1.66666,1.59308,2.07543,0,0,0,0,3.95406,4.19412,4.10025,0.00136994,0.00136994,0.00136994
20,135.312,1.58288,1.59201,2.09717,0.00041,0.02174,0.00022,4e-05,3.12362,4.02479,3.72783,0.00135344,0.00135344,0.00135344
21,145.457,1.6378,1.44874,1.94123,0.01512,1,0.28355,0.11361,1.41372,3.27647,3.24852,0.00133693,0.00133693,0.00133693
22,151.502,1.45343,1.33361,1.86939,1,0.15833,0.67537,0.33771,1.55847,2.78741,3.01705,0.00132043,0.00132043,0.00132043
23,157.139,1.65387,1.41156,2.02262,1,0.28707,0.73767,0.31156,1.49605,2.43508,2.79556,0.00130393,0.00130393,0.00130393
24,162.059,1.53616,1.31986,1.88942,0.80013,0.77565,0.96054,0.53378,1.29963,1.51975,2.1375,0.00128742,0.00128742,0.00128742
25,167.418,1.53944,1.21875,1.81632,0.81623,0.84783,0.98241,0.62339,1.21862,1.24051,2.01271,0.00127092,0.00127092,0.00127092
26,172.983,1.48702,1.20128,1.82056,0.89083,0.92739,0.99182,0.54529,1.46998,1.43453,2.06577,0.00125442,0.00125442,0.00125442
27,177.323,1.46261,1.11513,1.8152,0.91146,0.84218,0.97509,0.66121,1.22066,1.36611,1.92257,0.00123791,0.00123791,0.00123791
28,182.137,1.42753,1.14584,1.69114,0.7726,0.91304,0.97428,0.64878,1.16236,1.26825,1.90451,0.00122141,0.00122141,0.00122141
29,187.325,1.44943,1.1073,1.73482,0.7337,0.8913,0.98184,0.65831,1.13727,1.20804,1.87688,0.00120491,0.00120491,0.00120491
30,192.225,1.39228,0.97928,1.65784,0.69379,0.79643,0.99177,0.63131,1.24309,1.27281,1.8512,0.0011884,0.0011884,0.0011884
31,196.592,1.4043,1.04141,1.65049,0.82467,0.91366,0.98775,0.61629,1.2963,1.19005,1.81293,0.0011719,0.0011719,0.0011719
32,201.303,1.35158,1.02886,1.7181,0.96602,0.84041,0.98402,0.60071,1.2915,1.28577,1.86902,0.0011554,0.0011554,0.0011554
33,206.935,1.54333,1.138,1.81925,0.9785,0.8757,0.995,0.57781,1.34181,1.3282,1.84186,0.00113889,0.00113889,0.00113889
34,211.78,1.44628,1.06767,1.814,0.98865,0.99236,0.995,0.68582,1.10341,1.03484,1.6867,0.00112239,0.00112239,0.00112239
35,216.431,1.34496,0.94066,1.65153,0.98507,0.97145,0.995,0.65691,1.19709,1.07626,1.78804,0.00110589,0.00110589,0.00110589
36,221.189,1.26398,0.84284,1.57499,0.98455,1,0.995,0.60072,1.28024,0.93484,1.83397,0.00108938,0.00108938,0.00108938
37,226.857,1.2323,0.87644,1.5674,0.98362,1,0.995,0.66946,1.19189,0.85338,1.72488,0.00107288,0.00107288,0.00107288
38,231.361,1.39092,0.89044,1.55928,0.99475,1,0.995,0.7078,1.06099,1.19852,1.64334,0.00105638,0.00105638,0.00105638
39,237.671,1.27593,0.85134,1.49136,0.97992,1,0.995,0.71033,1.09341,0.88584,1.62176,0.00103987,0.00103987,0.00103987
