                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8268,                 5.6602,                 5.6539,                      0,                      0,                      0,                      0,                 4.0715,                 4.3204,                 4.1582,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 4.4057,                  5.627,                 5.4462,                      0,                      0,                      0,                      0,                 4.0715,                 4.3276,                 4.1583,             0.00018155,             0.00018155,             0.00018155
                      3,                 3.2976,                 3.2869,                 4.0049,                      0,                      0,                      0,                      0,                 4.0779,                 4.3406,                 4.1613,             0.00027778,             0.00027778,             0.00027778
                      4,                 2.4475,                 2.8302,                 3.6091,                      0,                      0,                      0,                      0,                    4.1,                   4.17,                  4.169,             0.00037202,             0.00037202,             0.00037202
                      5,                  2.223,                 2.5948,                 3.2441,                      0,                      0,                      0,                      0,                 4.1148,                 4.1954,                 4.1818,             0.00046429,             0.00046429,             0.00046429
                      6,                 1.9599,                 2.1869,                 3.0342,                      0,                      0,                      0,                      0,                  4.142,                 4.2047,                  4.197,             0.00055457,             0.00055457,             0.00055457
                      7,                 2.0066,                 2.0635,                 2.8788,                      0,                      0,                      0,                      0,                 4.1684,                 4.2979,                 4.2164,             0.00064287,             0.00064287,             0.00064287
                      8,                 1.9648,                 2.0631,                  2.849,                      0,                      0,                      0,                      0,                 4.1841,                 4.3014,                  4.232,             0.00072919,             0.00072919,             0.00072919
                      9,                 1.9968,                 2.0879,                 2.5829,                      0,                      0,                      0,                      0,                 4.1977,                 4.3526,                 4.2474,             0.00081354,             0.00081354,             0.00081354
                     10,                  1.856,                 1.9485,                 2.3954,                      0,                      0,                      0,                      0,                 4.2059,                 4.2265,                 4.2582,              0.0008959,              0.0008959,              0.0008959
                     11,                  1.726,                 1.8868,                 2.3286,                      0,                      0,                      0,                      0,                 4.2091,                  4.242,                  4.261,             0.00097628,             0.00097628,             0.00097628
                     12,                 1.6946,                 1.7578,                 2.2427,                      0,                      0,                      0,                      0,                  4.187,                  4.292,                 4.2543,              0.0010547,              0.0010547,              0.0010547
                     13,                 1.6002,                 1.7104,                 2.2798,                      0,                      0,                      0,                      0,                  4.196,                 4.3686,                 4.2629,              0.0011311,              0.0011311,              0.0011311
                     14,                 1.6977,                 1.6239,                 2.2445,                      0,                      0,                      0,                      0,                 4.1985,                 4.4532,                 4.2672,              0.0012055,              0.0012055,              0.0012055
                     15,                  1.561,                 1.5546,                 2.1524,                      0,                      0,                      0,                      0,                 4.2031,                 4.4935,                 4.2713,               0.001278,               0.001278,               0.001278
                     16,                 1.6761,                 1.4277,                 2.0153,                      0,                      0,                      0,                      0,                  4.186,                 4.5567,                 4.2666,              0.0013485,              0.0013485,              0.0013485
                     17,                 1.6195,                 1.4863,                 2.2667,                      0,                      0,                      0,                      0,                  4.155,                 4.5666,                 4.2496,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.6132,                 1.4434,                 2.1471,                      0,                      0,                      0,                      0,                 4.0906,                 4.8913,                 4.2055,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.5375,                 1.4488,                 2.1062,                      0,                      0,                      0,                      0,                 3.9779,                 4.8682,                 4.1238,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.6208,                 1.2504,                 1.9459,                0.00218,                0.14203,                0.08463,                 0.0172,                 2.8728,                 3.6714,                 3.3728,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.4893,                 1.2019,                 1.8095,                0.02111,                0.91304,                0.49275,                 0.2287,                  2.113,                 3.1367,                 3.0145,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.4833,                 1.1628,                 1.7914,                0.87554,                 0.4558,                0.77841,                0.49304,                 1.1336,                 2.0375,                 2.4017,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.3298,                 1.0993,                 1.7588,                0.81937,                0.49771,                0.77773,                0.46943,                 1.4875,                 1.8979,                 2.3595,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.4298,                 1.1259,                 1.7855,                0.98817,                      1,                  0.995,                 0.6772,                 1.0832,                0.86565,                  1.839,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.4879,                 1.1002,                 1.7664,                0.92575,                      1,                0.99406,                0.60716,                 1.2602,                0.99373,                 1.9115,              0.0012709,              0.0012709,              0.0012709
                     26,                   1.37,                  1.114,                 1.7258,                0.85365,                0.97133,                0.99229,                0.59779,                 1.3347,                0.90199,                  1.844,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.5504,                  1.069,                 1.9109,                0.83474,                0.94874,                  0.995,                0.62687,                 1.2495,                0.96698,                 1.8198,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.4593,                 1.0146,                 1.7955,                0.98232,                      1,                  0.995,                0.56259,                 1.3866,                0.99023,                 1.8104,              0.0012214,              0.0012214,              0.0012214
                     29,                  1.402,                 1.0523,                 1.7089,                0.96734,                0.95304,                0.98984,                0.60362,                 1.3044,                0.98526,                 1.7912,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.4873,                 1.0753,                  1.712,                 0.9579,                0.93934,                0.98771,                0.66132,                 1.2456,                  1.628,                 1.8248,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.2155,                0.97592,                 1.5299,                0.97396,                0.93925,                  0.995,                0.66546,                  1.239,                 1.3398,                 1.7711,              0.0011719,              0.0011719,              0.0011719
                     32,                  1.263,                0.86121,                 1.5039,                0.98091,                      1,                  0.995,                0.67016,                 1.1644,                0.79049,                 1.6608,              0.0011554,              0.0011554,              0.0011554
